PT,HLT,HLGT,SOC_ABBREV
Abdominal rebound tenderness,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastr
Foetal methotrexate syndrome,Chemically-induced congenital syndromes,Congenital and hereditary disorders NEC,Cong
Blood immunoglobulin E decreased,Immunoglobulin analyses,Immunology and allergy investigations,Inv
Forced expiratory volume abnormal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Occupational asthma,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),Resp
Pulmonary function challenge test abnormal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Administration site photosensitivity reaction,Administration site reactions NEC,Administration site reactions,Genrl
Application site coldness,Application site reactions,Administration site reactions,Genrl
Congenital aortic anomaly,Great vessel disorders congenital,Cardiac and vascular disorders congenital,Cong
Lower motor neurone lesion,Motor neurone diseases,Neuromuscular disorders,Nerv
Glucose tolerance decreased,Carbohydrate tolerance analyses (incl diabetes),"Metabolic, nutritional and blood gas investigations",Inv
Apolipoprotein B increased,Lipoprotein and lipid tests NEC,Lipid analyses,Inv
Cystitis ulcerative,Bladder infections and inflammations,Bladder and bladder neck disorders (excl calculi),Renal
Congenital tricuspid valve stenosis,Cardiac valve disorders congenital,Cardiac and vascular disorders congenital,Cong
Pulmonary arteriovenous fistula,Vascular anomalies congenital NEC,Cardiac and vascular disorders congenital,Cong
Focal nodular hyperplasia,Hepatobiliary neoplasms benign,Hepatic and biliary neoplasms benign,Neopl
Viral hepatitis carrier,Infectious disorders carrier,Ancillary infectious topics,Infec
Lactase deficiency,Sugar intolerance (excl glucose intolerance),Food intolerance syndromes,Metab
Medical device discomfort,Complications associated with device NEC,Complications associated with device,Genrl
Medullary carcinoma of breast,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),Neopl
Cardioactive drug level decreased,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Inv
Atrial standstill,Supraventricular arrhythmias,Cardiac arrhythmias,Card
Radial pulse increased,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Fibrinolysis increased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Inv
Sexually active,Sexuality issues,Gender related factors,SocCi
Primary cough headache,Headaches NEC,Headaches,Nerv
Dilated pores,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Skin cancer metastatic,Skin neoplasms malignant and unspecified (excl melanoma),Skin neoplasms malignant and unspecified,Neopl
Product packaging counterfeit,"Counterfeit, falsified and substandard products","Product quality, supply, distribution, manufacturing and quality system issues",Prod
Induced abortion failed,Induced abortion complications,Procedural related injuries and complications NEC,Inj&P
Retinopathy haemorrhagic,Retinopathies NEC,"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye
Needle fatigue,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Tumour inflammation,Oncologic complications and emergencies,Neoplasm related morbidities,Neopl
Suture related complication,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Apheresis,Blood and blood product treatment,Haematological and lymphoid tissue therapeutic procedures,Surg
Eye patch application,Eye therapeutic procedures NEC,Eye therapeutic procedures,Surg
Visual pathway disorder,Neurologic visual problems NEC,Neurological disorders of the eye,Nerv
Hepatitis E virus test positive,Virus identification and serology,Microbiology and serology investigations,Inv
Gastrointestinal procedural complication,Gastrointestinal and hepatobiliary procedural complications,Procedural related injuries and complications NEC,Inj&P
Suicide threat,Suicidal and self-injurious behaviour,Suicidal and self-injurious behaviours NEC,Psych
Medical induction of coma,Nervous system therapeutic procedures NEC,"Nervous system, skull and spine therapeutic procedures",Surg
Mesenteric lymphadenitis,Lymphatic system disorders NEC,"Spleen, lymphatic and reticuloendothelial system disorders",Blood
Bone contusion,Non-site specific injuries NEC,Injuries NEC,Inj&P
Hereditary non-polyposis colorectal cancer syndrome,Intestinal disorders congenital,Gastrointestinal tract disorders congenital,Cong
Pelvic bone injury,Abdominal and gastrointestinal injuries NEC,Injuries NEC,Inj&P
Laryngitis viral,Viral infections NEC,Viral infectious disorders,Infec
Anaphylactoid syndrome of pregnancy,Maternal complications of pregnancy NEC,Maternal complications of pregnancy,Preg
Foetal cerebrovascular disorder,Central nervous system vascular disorders NEC,Central nervous system vascular disorders,Nerv
Uterine hypotonus,Maternal complications of labour NEC,Maternal complications of labour and delivery,Preg
Uterine perforation,Reproductive tract and breast procedural complications,Procedural related injuries and complications NEC,Inj&P
Abnormal labour affecting foetus,Foetal conditions due to maternal conditions,Foetal complications,Preg
Disabled relative,Dependents,Family issues,SocCi
Vaginal oedema,Vulvovaginal signs and symptoms,Vulvovaginal disorders (excl infections and inflammations),Repro
Herpes gestationis,Bullous conditions,Epidermal and dermal conditions,Skin
Obstetric procedure complication,Reproductive tract and breast procedural complications,Procedural related injuries and complications NEC,Inj&P
Foreign body in reproductive tract,Reproductive system and breast injuries,Injuries NEC,Inj&P
Uterine tachysystole,Maternal complications of labour NEC,Maternal complications of labour and delivery,Preg
Abnormal cord insertion,Umbilical cord complications,Neonatal and perinatal conditions,Preg
Iridoplegia,Pupil disorders,Ocular neuromuscular disorders,Eye
Barium enema normal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Inv
Gallbladder injury,Abdominal and gastrointestinal injuries NEC,Injuries NEC,Inj&P
Ulnar nerve palsy,Mononeuropathies,Peripheral neuropathies,Nerv
Left ventricle outflow tract obstruction,Cardiovascular disorders congenital NEC,Cardiac and vascular disorders congenital,Cong
Transfer factor reduced,Immune response protein analyses NEC,Immunology and allergy investigations,Inv
Urinary tract candidiasis,Candida infections,Fungal infectious disorders,Infec
Abscess sterile,Inflammations,General system disorders NEC,Genrl
Vascular fragility,Non-site specific vascular disorders NEC,Vascular disorders NEC,Vasc
Infusion site exfoliation,Infusion site reactions,Administration site reactions,Genrl
Infusion site scar,Infusion site reactions,Administration site reactions,Genrl
Infusion site ulcer,Infusion site reactions,Administration site reactions,Genrl
Catheter site warmth,Implant and catheter site reactions,Administration site reactions,Genrl
Catheter site discolouration,Implant and catheter site reactions,Administration site reactions,Genrl
Prostate cancer stage III,Prostatic neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Allergic stomatitis,Stomatitis and ulceration,Oral soft tissue conditions,Gastr
Quarantine,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Blood prolactin,Pituitary analyses anterior,Endocrine investigations (incl sex hormones),Inv
Kounis syndrome,Ischaemic coronary artery disorders,Coronary artery disorders,Card
Interchange of vaccine products,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Cardiac telemetry abnormal,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Blood pressure orthostatic abnormal,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Inv
Psychological factor affecting medical condition,Mental disorders NEC,Psychiatric disorders NEC,Psych
Conjunctival bleb,"Conjunctival structural change, deposit and degeneration","Anterior eye structural change, deposit and degeneration",Eye
Glaucoma surgery,Iris and ciliary body therapeutic procedures,Eye therapeutic procedures,Surg
Conjunctival abrasion,Eye injuries NEC,Injuries NEC,Inj&P
Dacryocystorhinostomy,Lacrimal apparatus therapeutic procedures,Eye therapeutic procedures,Surg
Iodine uptake decreased,Thyroid analyses,Endocrine investigations (incl sex hormones),Inv
Potter's syndrome,Renal disorders congenital,Renal and urinary tract disorders congenital,Cong
Ureteric cancer,Renal pelvis and ureter neoplasms malignant,Renal and urinary tract neoplasms malignant and unspecified,Neopl
Cardiac murmur functional,Cardiac auscultatory investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Central core disease,Musculoskeletal and connective tissue disorders of limbs congenital,Musculoskeletal and connective tissue disorders congenital,Cong
Eye infarction,Ocular bleeding and vascular disorders NEC,Ocular haemorrhages and vascular disorders NEC,Eye
Bezold-Jarisch reflex,Rate and rhythm disorders NEC,Cardiac arrhythmias,Card
Hypopharyngeal cancer,Hypopharyngeal neoplasms malignant and unspecified,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Desmoid tumour,Soft tissue neoplasms benign NEC,Soft tissue neoplasms benign,Neopl
Paraneoplastic dermatomyositis,Connective tissue disorders,Epidermal and dermal conditions,Skin
Congenital genital malformation female,Female reproductive tract disorders congenital,Reproductive tract and breast disorders congenital,Cong
Pericarditis infective,Cardiac infections,Infections - pathogen unspecified,Infec
Becker's naevus,Skin neoplasms benign,Cutaneous neoplasms benign,Neopl
Bronchial ulceration,Bronchial conditions NEC,Bronchial disorders (excl neoplasms),Resp
Photoonycholysis,Nail and nail bed conditions (excl infections and infestations),Skin appendage conditions,Skin
Amoebic dysentery,Amoebic infections,Protozoal infectious disorders,Infec
Tear discolouration,Lacrimation disorders,Eye disorders NEC,Eye
Tongue pigmentation,Tongue signs and symptoms,Tongue conditions,Gastr
IIIrd nerve injury,Cranial nerve injuries,Injuries NEC,Inj&P
Autophony,Hearing disorders NEC,Hearing disorders,Ear
Arthritis allergic,Arthropathies NEC,Joint disorders,Musc
Penile necrosis,Penile disorders NEC (excl erection and ejaculation),Penile and scrotal disorders (excl infections and inflammations),Repro
Enlarged clitoris,Vulvovaginal signs and symptoms,Vulvovaginal disorders (excl infections and inflammations),Repro
Post-tussive vomiting,Nausea and vomiting symptoms,Gastrointestinal signs and symptoms,Gastr
Atrioventricular dissociation,Cardiac conduction disorders,Cardiac arrhythmias,Card
Unwanted pregnancy,Unintended pregnancies,"Pregnancy, labour, delivery and postpartum conditions",Preg
Premenstrual dysphoric disorder,Menstruation and uterine bleeding NEC,Menstrual cycle and uterine bleeding disorders,Repro
Pedal pulse abnormal,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Endometrial atrophy,Uterine disorders NEC,"Uterine, pelvic and broad ligament disorders",Repro
Menstrual clots,Menstruation and uterine bleeding NEC,Menstrual cycle and uterine bleeding disorders,Repro
Thrombosis prophylaxis,Haematological therapeutic procedures NEC,Haematological and lymphoid tissue therapeutic procedures,Surg
Bisexuality,Sexuality issues,Gender related factors,SocCi
Anti-transglutaminase antibody increased,Autoimmunity analyses,Immunology and allergy investigations,Inv
Vascular neoplasm,Cardiovascular neoplasms malignant and unspecified,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Radiation sickness syndrome,Radiation injuries,Injuries by physical agents,Inj&P
Venous pressure decreased,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Inv
Aortic restenosis,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,Inj&P
Immediate post-injection reaction,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
